,Make,Model,Year of manufacture,Colour,Condition,Mileage,Engine Size,Selling Condition,Bought Condition,Registered city,Price
2331,Toyota,Sienna,2006,Gray,Nigerian Used,300112,3300,Registered,Imported,LAGOS,1995000.0
2332,Lexus,IS,2012,White,Foreign Used,178844,2500,Imported,Imported,,7800000.0
2333,Toyota,Sienna,2011,Gray,Foreign Used,155476,3500,Imported,Imported,,7770000.0
2334,Toyota,Venza,2010,Black,Nigerian Used,289037,2700,Registered,Registered,LAGOS,6510000.0
2335,Nissan,Murano,2007,Black,Nigerian Used,225816,3500,Registered,Imported,ABUJA,1680000.0
2336,Toyota,Corolla,2009,Black,Foreign Used,116588,1800,Imported,Imported,,5408000.0
2337,Toyota,Tacoma,2013,White,Foreign Used,82516,4000,Imported,Imported,,13650000.0
2338,Mercedes-Benz,GL-Class,2010,Silver,Nigerian Used,160932,4800,Registered,Imported,ABUJA,8320000.0
2339,Toyota,Camry,2007,Black,Nigerian Used,257597,2400,Registered,Imported,Kaduna,2730000.0
2340,Toyota,Sienna,2011,Red,Foreign Used,154083,3500,Imported,Imported,,12324000.0
2341,Honda,Accord,2003,Black,Nigerian Used,231745,2400,Registered,Registered,ABUJA,1260000.0
2342,Toyota,Camry,2007,Silver,Nigerian Used,14199,3500,Registered,Registered,,2835000.0
2343,Toyota,Camry,2003,Silver,Nigerian Used,291252,2400,Registered,Registered,,2392000.0
2344,Toyota,Sienna,2001,White,Nigerian Used,366136,3000,Registered,Imported,LAGOS,1575000.0
2345,Toyota,Avalon,2010,Silver,Nigerian Used,210559,3500,Registered,Imported,OGUN,3675000.0
2346,Lexus,ES,2007,Gray,Foreign Used,278053,3500,Imported,Imported,,6142500.0
2347,Toyota,Camry,2022,Gray,Nigerian Used,199,2400,Registered,Imported,ABUJA,31500000.0
2348,Peugeot,407,2009,Blue,Nigerian Used,,2000,Registered,Registered,,1680000.0
2349,Toyota,Corolla,2004,Blue,Nigerian Used,361238,1800,Registered,Registered,Lagos,2205000.0
2350,Hyundai,Elantra,2008,Blue,Nigerian Used,224202,1600,Registered,Registered,AKWA IBOM,1575000.0
2351,Toyota,Sienna,2007,Gold,Nigerian Used,368443,3500,Registered,Imported,Lagos,3432000.0
2352,Mercedes-Benz,GLK-Class,2010,Black,Nigerian Used,139128,3500,Registered,Imported,LAGOS,5565000.0
2353,Toyota,Corolla,2009,Gray,Nigerian Used,340573,1800,Registered,Registered,ABUJA,3640000.0
2354,Toyota,Sienna,2003,Blue,Nigerian Used,,3000,Registered,Imported,Lagos,1848000.0
2355,Hyundai,Elantra,2017,Blue,Nigerian Used,114551,1600,Registered,Brand new,Lagos,8400000.0
2356,Toyota,Corolla,2006,Silver,Nigerian Used,468016,1800,Registered,Registered,,1575000.0
2357,Honda,Odyssey,2005,Black,Nigerian Used,173325,3500,Registered,Imported,LAGOS,2600000.0
2358,BMW,X5,2010,Black,Foreign Used,196318,3000,Imported,Imported,,6825000.0
2359,Toyota,Matrix,2004,Silver,Foreign Used,327705,1800,Imported,Imported,,3465000.0
2360,Toyota,Corolla,2004,Blue,Nigerian Used,363834,1800,Registered,Imported,LAGOS,3320000.0
2361,Mercedes-Benz,CLS,2006,Gray,Nigerian Used,431003,5000,Registered,Registered,,2835000.0
2362,Lexus,IS,2007,Silver,Nigerian Used,246076,2500,Registered,Imported,Abuja,3990000.0
2363,Pontiac,Vibe,2009,Red,Foreign Used,120741,2400,Imported,Imported,,4200000.0
2364,Toyota,Camry,2008,Silver,Nigerian Used,103173,2400,Registered,Imported,Lagos,3744000.0
2365,Volkswagen,Touareg,2006,Blue,Nigerian Used,284352,3200,Registered,Registered,,2640000.0
2366,Land Rover,Discovery,2018,Black,Foreign Used,55945,2000,Imported,Imported,,44720000.0
2367,Toyota,Sienna,2006,Silver,Nigerian Used,162958,3300,Registered,Imported,ABUJA,4784000.0
2368,Hyundai,Veracruz,2009,Brown,Nigerian Used,189610,3800,Registered,Imported,Lagos,5775000.0
2369,Toyota,Sienna,2011,Gray,Foreign Used,344398,2700,Imported,Imported,,10400000.0
2370,Honda,Pilot,2005,Silver,Nigerian Used,329946,3500,Registered,Imported,,2392000.0
2371,Hyundai,Grandeur,2006,Black,Nigerian Used,155386,3300,Registered,Imported,LAGOS,3633000.0
2372,Mercedes-Benz,C-Class,2004,Silver,Nigerian Used,257153,2000,Registered,Imported,LAGOS,2415000.0
2373,Ford,Explorer,2006,Silver,Nigerian Used,284188,4000,Registered,Imported,,1785000.0
2374,Toyota,Sienna,2000,Purple,Nigerian Used,479695,3000,Registered,Registered,,1323000.0
2375,Ford,F-150,2013,White,Foreign Used,371036,5000,Imported,Imported,,6510000.0
2376,Audi,Q5,2009,Black,Nigerian Used,49259,3200,Registered,Registered,,7875000.0
2377,Nissan,Quest,1999,Red,Nigerian Used,193066,3300,Registered,Registered,,735000.0
2378,Ford,F-150,2006,Black,Nigerian Used,163690,5400,Registered,Registered,Lagos,2520000.0
2379,Toyota,Camry,2007,Gold,Nigerian Used,62934,2400,Registered,Imported,EDO,3640000.0
2380,Peugeot,307,2004,Silver,Nigerian Used,437514,1600,Registered,Registered,Kaduna,1888000.0
2381,Toyota,Land Cruiser Prado,2018,Black,Nigerian Used,66704,2700,Registered,Brand new,LAGOS,32760000.0
2382,Mercedes-Benz,C300,2008,Black,Nigerian Used,198688,,Registered,Registered,ABUJA,3570000.0
2383,Ford,Explorer,2005,Silver,Nigerian Used,186692,4000,Registered,Registered,,2400000.0
2384,Ford,Fusion,2014,Gray,Nigerian Used,270808,2000,Registered,Imported,Abuja,3675000.0
2385,Toyota,4-Runner,1996,Black,Nigerian Used,228698,3400,Registered,Imported,LAGOS,1890000.0
2386,Toyota,Sienna,2000,White,Nigerian Used,215957,3000,Registered,Imported,Jos,3120000.0
2387,Honda,Pilot,2006,Gray,Nigerian Used,110332,3500,Registered,Registered,Lagos,1932000.0
2388,Toyota,Camry,2011,Silver,Nigerian Used,139796,2500,Registered,Registered,,3465000.0
2389,Toyota,Camry,2010,Gray,Nigerian Used,146335,2500,Registered,Imported,Nasarawa,3640000.0
2390,Peugeot,407,2004,Silver,Nigerian Used,999999,2000,Registered,Registered,,1260000.0
2391,Audi,S5,2011,Silver,Nigerian Used,57171,3500,Registered,Registered,"Abuja, FCT",6300000.0
2392,Honda,CR-V,2006,Silver,Nigerian Used,123521,2800,Registered,Registered,Lagos,1732500.0
2393,Honda,Accord,2003,Silver,Nigerian Used,413550,3000,Registered,Registered,LAGOS,1365000.0
2394,Toyota,Sequoia,2003,Black,Nigerian Used,137914,4700,Registered,Imported,LAGOS,2496000.0
2395,Ford,Ranger,2004,Silver,Nigerian Used,248998,4000,Registered,Imported,LAGOS,2415000.0
2396,Hyundai,Azera,2006,White,Nigerian Used,119116,3800,Registered,Registered,,2730000.0
2397,Mercedes-Benz,C180,2009,Black,Nigerian Used,258463,1600,Registered,Registered,LAGOS,3150000.0
2398,Toyota,Camry,2003,Silver,Nigerian Used,380068,2400,Registered,Registered,Lagos,2392000.0
2399,Honda,Accord,2003,Silver,Nigerian Used,321729,2400,Registered,Registered,ABUJA,1772000.0
2400,Hyundai,Santa Fe,2007,White,Nigerian Used,133639,3300,Registered,Imported,,3328000.0
2401,Nissan,Altima,2014,Black,Nigerian Used,190478,1800,Registered,Imported,,3255000.0
2402,Volkswagen,Passat,2006,Gray,Nigerian Used,171434,2000,Registered,Registered,Abuja,1732500.0
2403,Honda,Accord,2008,Silver,Nigerian Used,219911,3500,Registered,Registered,Abuja,2600000.0
2404,Toyota,Highlander,2012,Blue,Nigerian Used,127388,3500,Registered,Imported,,8944000.0
2405,Toyota,Corolla,2010,White,Nigerian Used,235489,1800,Registered,Registered,ABUJA,3848000.0
2406,BMW,3 Series,2005,White,Nigerian Used,169624,2500,Registered,Imported,,1995000.0
2407,Honda,Accord,2009,Gray,Nigerian Used,202606,2400,Registered,Registered,Lagos,2310000.0
2408,Toyota,Sienna,2014,Green,Foreign Used,73815,3500,Imported,Imported,,11960000.0
2409,Opel,Zafira,2005,Silver,Nigerian Used,176791,2200,Registered,Imported,Lagos,2520000.0
2410,Toyota,Corolla,2006,Black,Nigerian Used,223671,1800,Registered,Registered,Lagos,1344000.0
2411,Mercedes-Benz,M Class,2006,Silver,Foreign Used,325458,3500,Imported,Imported,,8528000.0
2412,Toyota,Avensis,2012,Black,Nigerian Used,1972121,2000,Registered,Registered,ABUJA,3150000.0
2413,Acura,MDX,2004,White,Nigerian Used,221452,3800,Registered,Registered,Lagos,2080000.0
2414,Mercedes-Benz,C400,2015,White,Nigerian Used,134431,3000,Registered,Registered,FCT,12600000.0
2415,Toyota,Land Cruiser Prado,2014,Black,Nigerian Used,73950,2700,Registered,Imported,FCT,20800000.0
2416,Mercedes-Benz,M Class,2012,Silver,Foreign Used,74142,3500,Imported,Imported,,15912000.0
2417,Kia,Sportage,2009,Black,Nigerian Used,155624,2000,Registered,Brand new,,3675000.0
2418,Toyota,RAV4,2000,Green,Nigerian Used,228286,2200,Registered,Registered,LAGOS,1664000.0
2419,Honda,Pilot,2012,Black,Foreign Used,199479,3500,Imported,Imported,,3990000.0
2420,Toyota,Corolla,2016,Silver,Nigerian Used,83371,1800,Registered,Imported,,6760000.0
2421,Dodge,Caravan,2009,Red,Nigerian Used,285449,3300,Registered,Registered,,2100000.0
2422,Toyota,Venza,2015,White,Foreign Used,75044,2700,Imported,Imported,,14560000.0
2423,Toyota,Camry,2008,Green,Nigerian Used,188241,2400,Registered,Registered,,3150000.0
2424,Honda,Civic,2007,Black,Nigerian Used,188244,1800,Registered,Registered,Kano,2288000.0
2425,Honda,Accord,2000,Green,Nigerian Used,251252,2300,Registered,Registered,ABUJA,1248000.0
2426,Mercedes-Benz,M Class,2007,Black,Nigerian Used,156059,3500,Registered,Imported,Ondo,3087000.0
2427,Honda,Accord,2008,Black,Nigerian Used,119554,2400,Registered,Registered,Lagos,2310000.0
2428,Renault,Laguna,2003,Silver,Foreign Used,224342,1600,Imported,Imported,,3150000.0
2429,Toyota,Camry,2010,Black,Nigerian Used,215242,2500,Registered,Imported,ABUJA,3045000.0
2430,Toyota,Camry,2004,Silver,Nigerian Used,297997,2400,Registered,Registered,ABUJA,1575000.0
2431,Toyota,Highlander,2015,Gray,Foreign Used,138857,3500,Imported,Imported,,18200000.0
2432,Nissan,Altima,2004,Red,Nigerian Used,370708,2500,Registered,Registered,LAGOS,1785000.0
